Bin Feature_name Count_D1 Count_D3
bin_1 GEDJHMHK_00780 0.00819399488281 0.00977031876036
bin_1 GEDJHMHK_01814 0.005097674619 0.018235026996
bin_1 GEDJHMHK_01124 0.00143053493996 0.0
bin_1 GEDJHMHK_01399 0.00123321977583 0.0
bin_1 GEDJHMHK_02127 0.00103194585389 0.0
bin_2 NKKGILPB_00849 0.611052028652 0.0555714510488
bin_2 NKKGILPB_01728 0.0197315164132 0.0117636883925
bin_2 NKKGILPB_02417 0.00835348870048 0.00996049528125
bin_2 NKKGILPB_01678 0.0040296758872 0.0
bin_2 NKKGILPB_02315 0.00389924344793 0.0
bin_6 AJLHJOPO_00051 2.57430818486 2.47624294702
bin_6 AJLHJOPO_00052 2.28885590393 1.09739582627
bin_6 AJLHJOPO_00053 0.291308933228 0.074432064738
bin_6 AJLHJOPO_00466 0.0536450602484 0.00852867408457
bin_6 AJLHJOPO_01199 0.0340350320287 0.0
bin_7 IBEININK_02008 0.0355412407443 0.0254271028608
bin_7 IBEININK_01151 0.022965109404 0.0456383897502
bin_7 IBEININK_01452 0.0169294075735 0.076707601234
bin_7 IBEININK_01832 0.0130048630905 0.0217093522153
bin_7 IBEININK_02028 0.0109201140455 0.013020876465
bin_12 NAKHGHBN_00872 0.411361199324 0.245248508238
bin_12 NAKHGHBN_01166 0.218267186715 0.443139354497
bin_12 NAKHGHBN_01044 0.0370907125049 0.0691923794001
bin_12 NAKHGHBN_01150 0.0248249013442 0.0592012083961
bin_12 NAKHGHBN_01167 0.0230864428351 0.0865156564198
bin_16 KMAGMKGC_00137 0.000257117041556 0.000613160122907
bin_16 NAKHGHBN_01166 0 0.443139354497
bin_16 NAKHGHBN_01044 0 0.0691923794001
bin_16 NAKHGHBN_01150 0 0.0592012083961
bin_16 NAKHGHBN_01167 0 0.0865156564198
bin_19 HOJAHHDM_00402 0.0234087535629 0.0589253845843
bin_19 HOJAHHDM_00901 0.0123321977583 0.0
bin_19 HOJAHHDM_01434 0.0100830656561 0.0240456009433
bin_19 HOJAHHDM_01160 0.00532292070682 0.0190407607469
bin_19 HOJAHHDM_01545 0.0049328791033 0.0
bin_24 OADFBJFJ_02432 0.0510905335699 0.560455725557
bin_24 OADFBJFJ_02314 0.02814167095 0.282424945095
bin_24 OADFBJFJ_01392 0.0171664192795 0.238802874368
bin_24 OADFBJFJ_01936 0.0165061723841 0.108248555689
bin_24 OADFBJFJ_02214 0.0162907893518 0.00485618453214
bin_26 FFEFCCMG_00326 1.41273881152 0.69861674798
bin_26 FFEFCCMG_00530 0.697718156589 0.309441855262
bin_26 FFEFCCMG_00501 0.0451747875776 0.0
bin_26 FFEFCCMG_00996 0.0258920351124 0.0370476340325
bin_26 FFEFCCMG_01099 0.0236871545351 0.0371206630765
